input_shape_1,input_shape_2,input_shape_3,input_shape_4,bfloat8,bfloat16,INPUTBUFFER0,INPUTBUFFER1,kernel_duration
1888,1152,0,0,1,0,0,1,63352
1888,32,0,0,0,1,1,0,4310
1888,32,0,0,0,1,1,0,4125
1888,32,0,0,0,1,1,0,3741
1888,32,0,0,0,1,1,0,3737
1888,32,0,0,0,1,0,1,3989
1888,32,0,0,0,1,0,1,3854
1888,32,0,0,0,1,0,1,3748
1888,32,0,0,0,1,0,1,3678
1888,32,0,0,1,0,1,0,3637
1888,32,0,0,1,0,1,0,3638
1888,32,0,0,1,0,1,0,3397
1888,32,0,0,1,0,1,0,3441
1888,32,0,0,1,0,0,1,3608
1888,32,0,0,1,0,0,1,3503
1888,32,0,0,1,0,0,1,3348
1888,32,0,0,1,0,0,1,3300
192,1504,0,0,0,1,1,0,12216
192,1504,0,0,0,1,1,0,12271
192,1504,0,0,0,1,1,0,12151
192,1504,0,0,0,1,1,0,12059
192,1504,0,0,0,1,0,1,11096
192,1504,0,0,0,1,0,1,11037
192,1504,0,0,0,1,0,1,10834
192,1504,0,0,0,1,0,1,10835
192,1504,0,0,1,0,1,0,11257
192,1504,0,0,1,0,1,0,11175
192,1504,0,0,1,0,1,0,11084
192,1504,0,0,1,0,1,0,11079
192,1504,0,0,1,0,0,1,10713
192,1504,0,0,1,0,0,1,10717
192,1504,0,0,1,0,0,1,10551
192,1504,0,0,1,0,0,1,10609
1728,832,0,0,0,1,1,0,42980
1728,832,0,0,0,1,1,0,42909
1728,832,0,0,0,1,1,0,42474
1728,832,0,0,0,1,1,0,42422
1728,832,0,0,0,1,0,1,42712
1728,832,0,0,0,1,0,1,42705
1728,832,0,0,0,1,0,1,41912
1728,832,0,0,0,1,0,1,41930
1728,832,0,0,1,0,1,0,42049
1728,832,0,0,1,0,1,0,41933
1728,832,0,0,1,0,1,0,41626
1728,832,0,0,1,0,1,0,41767
1728,832,0,0,1,0,0,1,41733
1728,832,0,0,1,0,0,1,41887
1728,832,0,0,1,0,0,1,41473
1728,832,0,0,1,0,0,1,41435
1472,1696,0,0,0,1,1,0,73483
1472,1696,0,0,0,1,1,0,73513
1472,1696,0,0,0,1,1,0,73394
1472,1696,0,0,0,1,1,0,73421
1472,1696,0,0,0,1,0,1,73118
1472,1696,0,0,0,1,0,1,73086
1472,1696,0,0,0,1,0,1,72869
1472,1696,0,0,0,1,0,1,72928
1472,1696,0,0,1,0,1,0,72685
1472,1696,0,0,1,0,1,0,72666
1472,1696,0,0,1,0,1,0,72525
1472,1696,0,0,1,0,1,0,72514
1472,1696,0,0,1,0,0,1,72549
1472,1696,0,0,1,0,0,1,72640
1472,1696,0,0,1,0,0,1,72424
1472,1696,0,0,1,0,0,1,72400
1632,1376,0,0,0,1,1,0,66217
1632,1376,0,0,0,1,1,0,66313
1632,1376,0,0,0,1,1,0,66002
1632,1376,0,0,0,1,1,0,66140
1632,1376,0,0,0,1,0,1,65894
1632,1376,0,0,0,1,0,1,65838
1632,1376,0,0,0,1,0,1,65649
1632,1376,0,0,0,1,0,1,65625
1632,1376,0,0,1,0,1,0,65412
1632,1376,0,0,1,0,1,0,65437
1632,1376,0,0,1,0,1,0,65305
1632,1376,0,0,1,0,1,0,65285
1632,1376,0,0,1,0,0,1,65222
1632,1376,0,0,1,0,0,1,65241
1632,1376,0,0,1,0,0,1,65077
1632,1376,0,0,1,0,0,1,65073
1312,32,0,0,0,1,1,0,4072
1312,32,0,0,0,1,1,0,4100
1312,32,0,0,0,1,1,0,4000
1312,32,0,0,0,1,1,0,3954
1312,32,0,0,0,1,0,1,4229
1312,32,0,0,0,1,0,1,3930
1312,32,0,0,0,1,0,1,3812
1312,32,0,0,0,1,0,1,3693
1312,32,0,0,1,0,1,0,3659
1312,32,0,0,1,0,1,0,3745
1312,32,0,0,1,0,1,0,3433
1312,32,0,0,1,0,1,0,3452
1312,32,0,0,1,0,0,1,3578
1312,32,0,0,1,0,0,1,3470
1312,32,0,0,1,0,0,1,3330
1312,32,0,0,1,0,0,1,3299
1280,1024,0,0,0,1,1,0,41051
1280,1024,0,0,0,1,1,0,40903
1280,1024,0,0,0,1,1,0,40010
1280,1024,0,0,0,1,1,0,40031
1280,1024,0,0,0,1,0,1,41216
1280,1024,0,0,0,1,0,1,40794
1280,1024,0,0,0,1,0,1,38824
1280,1024,0,0,0,1,0,1,38833
1280,1024,0,0,1,0,1,0,39243
1280,1024,0,0,1,0,1,0,39339
1280,1024,0,0,1,0,1,0,38843
1280,1024,0,0,1,0,1,0,38736
1280,1024,0,0,1,0,0,1,39227
1280,1024,0,0,1,0,0,1,39044
1280,1024,0,0,1,0,0,1,38091
1280,1024,0,0,1,0,0,1,37934
1696,1792,0,0,0,1,1,0,88155
1696,1792,0,0,0,1,1,0,88095
1696,1792,0,0,0,1,1,0,87931
1696,1792,0,0,0,1,1,0,87941
1696,1792,0,0,0,1,0,1,87863
1696,1792,0,0,0,1,0,1,88035
1696,1792,0,0,0,1,0,1,87557
1696,1792,0,0,0,1,0,1,87590
1696,1792,0,0,1,0,1,0,87299
1696,1792,0,0,1,0,1,0,87277
1696,1792,0,0,1,0,1,0,87143
1696,1792,0,0,1,0,1,0,87140
1696,1792,0,0,1,0,0,1,87098
1696,1792,0,0,1,0,0,1,87107
1696,1792,0,0,1,0,0,1,86978
1696,1792,0,0,1,0,0,1,86966
